etapa,Violenc_escolas,id,Concorda,DRs,Cidade,serie,Idade,Sexo,Cor_da_pele,Escala_1_1,Escala_1_2,Escala_1_3,Escala_1_4,Escala_1_5,Escala_1_6,Escala_1_7,Escala_1_8,Escala_1_9,Escala_2_1,Escala_2_2,Escala_2_3,Escala_2_4,Escala_2_5,Escala_2_6,Escala_2_7,Escala_2_8,Escala_2_9,Escala_2_10,Escala_2_11,Escala_2_12,Escala_2_13,Escala_2_14,Escala_2_15,Escala_2_16,Escala_3_1,Escala_3_2,Escala_3_3,Escala_3_4,Escala_3_5,Escala_3_6,Escala_3_7,Escala_3_8,Escala_4_1,Escala_4_2,Escala_4_3,Escala_4_4,Escala_4_5,Escala_4_6,Escala_4_7,Escala_4_8,Escala_4_9,Escala_5_1,Escala_5_2,Escala_5_3,Escala_5_4,Escala_5_5,Escala_5_6,Escala_5_7,Escala_6_1,Escala_6_2,Escala_6_3,Escala_6_4,Escala_6_5,Escala_6_6,Escala_6_7,Escala_6_8,Escala_7_1,Escala_7_2,Escala_7_3,Escala_7_4,Escala_7_5,Escala_7_6,Escala_7_7,Escala_7_8,Escala_7_9,Escala_7_10,Escala_7_11,Escala_7_12,Escala_7_13,Escala_7_14,Escala_7_15,Escala_7_16,Escala_7_17,Escala_7_18,Escala_7_19,Escala_7_20,Escala_7_21,Escala_7_22,Escala_8_1,Escala_8_2,Escala_8_3,Escala_8_4,Escala_9_1,Escala_9_2,Escala_9_3,Escala_9_4,Escala_9_5,Escala_9_6,Escala_9_7,Escala_9_8,Escala_9_9,Escala_10_1,Escala_10_2,Escala_10_3,Escala_10_4,Escala_10_5,Escala_10_6,Escala_11_1,Escala_11_2,Escala_11_3,Escala_11_4,Escala_11_5,Violencia_redes,Renda,Redes_sociais,Frequencia_Redes,Tempo_Gasto_Redes,Redes_utilizadas_1,Uso_de_celular,Finalidade_celular_1,Finalidade_celular_2,Finalidade_celular_3,Finalidade_celular_4,Finalidade_celular_5,Finalidade_celular_5_TEXT,F1_escala3,F2_escala3,F1_Escala_4,F2_EScala_4,F3_Escala_4,Maioria_Sexual,Minoria_Sexual,Minoria_Física,PCDs,Maioria_racial,Minoria_racial,Rico,Pobre,Maioria_religiosa,Minoria_religiosa,F1_Escala_9,F2_Escala_9,cor_da_pele,E1_ameacas,E2_situacoes_estresse,E5_disc_pessoal,E6_locais,escala7_soma_pertenc,esc8_rel_intergrup,esc9_inc_diversid,esc10_est_emoc_neg,esc11_satisf_vida,esc3_4_conflitos,E2_6_contextos,E8_9_grupal,E5_10_11_individ,idade_outliers,esc1_1,esc_1_2,esc_1_3,esc_1_4,esc_1_5,esc_1_6,esc_1_7,esc_1_8,esc_1_9,esc1_Pertencimento,esc2_sit_alunos,esc2_sit_escola,esc6_loc_agr_esc,esc6_loc_agr_imed,esc6_loc_agr_internet,esc5_bull_alvo,esc5_bull_agente,esc5_bull_testem,esc7_grup_estig,esc7_soma_pert
1° ano,,1123,1,7,Porto da Folha,2,15,masculino,preto,2,4,2,5,5,5,2,4,1,3,3,,5,5,1,2,3,5,1,1,5,5,1,4,4,2,,3,5,5,5,3,5,5,2,5,1,5,2,3,1,5,2,2,1,1,1,1,1,2,2,2,1,2,1,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,3,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,5,,2,1,5,5,1,1,1,1,1,1,,,4,,5,3.33333,1.5,1,0,1,0,0,1,0,0,1,0,1.66667,1,3,3.33333,,1.28571,2,4,2.75,2.77778,1.33333,2.6,3.46667,2.78261,2.76923,1.73968,1,4,2,4,1,1,1,4,2,5,2.66667,2.5,3.45455,2,5,1,1.66667,1,1,0.153846,0.181818
1° ano,,1124,1,7,Porto da Folha,2,15,masculino,branco,2,5,1,4,5,4,1,5,1,3,1,1,2,1,1,1,5,1,1,1,5,5,1,1,2,3,3,5,3,4,3,1,5,3,1,4,3,1,,1,3,3,1,1,1,1,1,1,1,3,5,2,1,2,5,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,5,5,5,5,5,5,5,5,4,1,1,1,1,1,1,3,2,5,5,5,2,2,1,5,2,1,1,,,,,1,Só para fazer cálculos,2.8,3,2.75,1.66667,,1,0,0,0,1,0,0,1,1,0,4.83333,1,1,3.11111,2,1,3,4,1,4.88889,1,4,3,2.33333,3.69231,2,1,4,1,5,2,1,2,5,1,5,2.88889,1.4,2.27273,2,3,3,1,1,1,0.0769231,0.181818
1°,,1125,1,7,Porto da Folha,2,15,feminino,branco,2,4,2,4,2,3,2,4,4,3,1,1,2,1,1,1,4,1,1,2,1,1,1,4,1,3,4,,2,1,1,2,5,1,1,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5,5,5,4,5,5,5,5,5,5,5,4,2,5,4,5,5,5,4,4,3,3,2,1,2,1,1,5,5,1,1,,,,1,,,1.8,,2.25,1,1,0,1,1,0,1,0,0,1,0,0,4.33333,1,1,3,1.625,1,1,4,4.75,4.55556,4.66667,2.6,1.86667,1.41667,4.61538,2.75556,1,4,2,4,2,4,3,4,2,2,3,1.6,1.63636,1,1,1,1,1,1,0.230769,0.181818
1° ano,Sofro bullying,1126,1,7,Porto da Folha,2,16,masculino,pardo,2,1,4,4,5,5,5,5,1,2,1,1,1,1,1,1,3,1,1,1,4,5,1,1,5,5,1,3,1,2,3,2,3,1,4,,,2,3,4,3,5,1,3,3,1,1,1,3,1,,,,,,,,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,4,3,3,3,1,4,,5,5,2,3,4,5,3,3,3,3,3,3,4,4,1,3,5,1,1,1,2,3,1,1,1,,,,,,2.6,2.33333,,4.33333,3,3,0,1,1,0,1,0,0,1,1,3.33333,,2,3.55556,1.875,1.85714,1,8,3.25,3.625,3,3.4,2.85714,1.82353,3.5,2.75238,1,4,5,2,2,1,1,1,1,5,2.44444,1.2,2.18182,,,,2.33333,1,2,0.230769,0.363636
1° ano,,1127,1,7,Porto da Folha,2,15,masculino,preto,3,4,2,,4,5,2,4,1,,4,1,3,2,1,1,1,1,1,1,5,5,2,4,5,2,1,1,4,5,5,1,5,4,1,4,3,5,2,1,1,2,2,5,1,1,1,1,2,1,2,,3,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,3,2,1,,5,,,,,,,1,1,2,5,4,1,1,1,4,3,1,,,,5,5,1,1,,,,1,,,3.4,3.66667,4,1.33333,1.5,1,0,0,0,0,1,0,0,0,0,,,3,3.125,,1.85714,1.71429,2,2,3,2.33333,2,2.625,2.22727,2.33333,2.06349,1,3,2,4,,2,1,4,2,5,2.875,1,3,,3,1,2.66667,1,1.5,0.0769231,0.0909091
6° ano,,1128,1,7,Porto da Folha,1,11,feminino,pardo,5,2,1,2,2,5,4,2,1,5,3,1,3,4,1,1,5,1,1,1,1,1,5,1,1,5,5,1,,5,1,5,5,2,2,3,1,5,1,5,1,,1,2,1,1,1,1,1,1,2,2,1,2,2,3,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,2,2,2,5,4,5,5,4,4,5,5,5,1,2,5,5,5,3,5,5,5,5,4,2,1,1,5,5,1,1,,1,,,,,,5,3.75,,1,1,1,0,0,0,1,0,1,0,1,4.66667,1.33333,2,2.66667,2.1875,1.14286,2.125,5,2.75,4.66667,3.5,4.8,3,2.16667,4.07692,3.14762,1,1,4,5,4,4,1,2,4,5,3.33333,1.8,2.36364,2,3,4,1.33333,1,1,0.230769,0.227273
6° ano,,1129,1,7,Porto da Folha,1,11,masculino,pardo,5,4,1,2,2,1,1,2,1,2,2,1,2,1,1,1,3,1,1,1,1,4,3,2,1,2,3,4,3,4,3,1,4,2,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3,2,3,3,5,5,5,3,5,3,5,5,5,2,1,1,1,5,1,3,5,5,4,5,2,1,1,5,3,,2,,,,,,,2.6,3,3.25,1,2.5,2,0,1,0,0,1,0,1,1,0,4.66667,1.66667,2,2.11111,1.6875,1,1.125,6,2.75,4.55556,1.83333,4.4,2.25,1.5,4,2.41111,1,1,2,5,4,4,5,5,4,5,3.88889,1.2,1.90909,1,2,1,1,1,1,0.230769,0.272727
6° ano,,1130,1,7,Porto da Folha,1,12,feminino,pardo,1,4,2,2,2,3,2,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,2,5,2,1,5,2,1,5,4,1,2,2,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,5,3,4,4,4,4,5,5,4,5,5,4,3,1,3,2,3,1,1,3,2,3,2,2,2,1,1,5,5,1,2,,,,,,,2.2,4.66667,3.25,2.33333,1,2,1,1,0,0,1,0,1,1,0,4.16667,1.33333,2,2.11111,1.3125,1,1,7,4,4.33333,1.83333,2.4,2.5,1.20833,4.23077,1.74444,1,5,2,4,4,4,3,4,4,5,3.88889,1,1.45455,1,1,1,1,1,1,0.307692,0.318182
6° ano,,1131,1,7,Porto da Folha,1,11,masculino,branco,3,4,2,1,1,3,2,2,2,1,2,1,2,2,1,1,4,1,1,1,2,5,3,1,2,2,4,2,3,3,2,3,1,1,2,1,4,5,1,1,1,1,1,1,2,1,1,1,1,3,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,5,5,3,5,1,5,5,5,3,5,5,5,5,1,3,2,1,1,1,3,2,5,4,5,2,1,1,5,1,1,1,1,,,1,,,2.6,3,2.25,1.33333,1,1,0,1,0,1,0,1,0,1,0,4,1,1,2.22222,1.875,1.14286,1.625,5,4.5,4.33333,1.5,3.8,2,1.79167,4.38462,2.14762,1,3,2,4,5,5,3,4,4,4,3.77778,1,2.27273,2,1,1,1.33333,1,1,0.0769231,0.227273
6° ano,,1132,1,7,Porto da Folha,1,11,feminino,pardo,2,5,2,2,2,2,2,2,2,3,1,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,2,3,3,3,3,1,3,2,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,3,4,3,5,5,5,5,5,3,5,4,5,1,1,3,1,4,1,5,5,5,4,4,2,1,1,5,5,1,1,,,,1,,,2.2,2.66667,2.75,1,1,2,1,1,0,0,1,0,0,1,0,4.5,1,2,2.33333,1.3125,1,1.75,6,3.5,4.66667,1.83333,4.6,2,1.45833,4.30769,2.47778,1,4,1,4,4,4,4,4,4,4,3.66667,1.4,1.27273,3,1,3,1,1,1,0.230769,0.272727
6° ano,"Lá me assediaram me pediram fotinha +18 sem roupa, mas obviamente não mandei e depois bloquei e apaguei o contato e nunca mais me mandaram mensagem.",1133,1,7,Porto da Folha,1,10,feminino,pardo,2,3,1,3,3,4,1,,1,1,5,1,1,2,1,1,1,1,1,1,1,3,1,1,1,5,5,1,3,,3,3,5,5,1,5,1,5,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,3,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,5,3,5,5,5,5,3,5,5,3,5,5,5,5,3,1,5,,,,,,1,2,1,5,2,,2,,,,,,,,5,5,1,1,2,1,1,0,0,1,0,0,0,0,4.33333,1,2,2.25,1.4375,1.57143,2,5,3.5,4.55556,4,,2.73333,1.625,4.23077,2.78571,0,4,3,5,3,3,2,5,,5,3.75,1,1.63636,3,3,1,1,1,3,0.230769,0.227273
6° ano,,1134,1,7,Porto da Folha,1,11,feminino,pardo,4,3,2,3,2,3,2,2,1,4,4,1,4,1,1,1,1,1,1,1,5,5,2,1,1,1,3,3,1,5,4,1,4,4,3,3,1,5,1,1,1,1,4,5,1,1,1,2,4,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,5,4,3,4,1,5,5,5,4,5,5,2,4,5,2,5,2,5,5,4,2,2,4,4,2,2,1,5,5,1,2,,,,,,,2.4,3.33333,4.25,1.66667,1,1,1,1,0,0,1,1,0,1,0,3.5,1,2,2.44444,2.125,2.57143,1,6,4,4,4,3.2,2.3125,1.75,4,3.25714,1,2,3,4,3,4,3,4,4,5,3.55556,1.6,2.36364,1,1,1,3.33333,1,3,0.230769,0.272727
6° ano,,1135,1,7,Porto da Folha,1,11,feminino,pardo,4,2,1,1,1,3,3,4,1,3,1,1,3,3,4,1,4,1,1,1,5,2,4,5,1,3,5,3,2,5,1,3,5,1,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,5,5,5,5,5,2,2,2,5,1,1,1,1,1,2,4,4,5,5,5,2,2,1,5,5,1,2,,,,,,,2.8,4.33333,2.25,1.66667,1,0,1,1,0,0,1,1,0,0,1,3.5,1,2,2.22222,2.5,1,1,5,1,4,1.16667,4.6,2.5,2,3.07692,2.25556,1,2,4,5,5,5,3,3,2,5,3.77778,1.4,3,1,1,1,1,1,1,0.230769,0.227273
6° ano,,1136,1,7,Porto da Folha,1,11,feminino,preto,1,4,1,2,2,3,1,2,1,3,1,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,5,1,3,1,1,2,5,5,3,3,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,5,5,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,4,4,4,4,1,2,1,1,5,5,,2,,,,,,,1.6,5,4.25,1.66667,1,0,1,1,0,0,1,0,1,0,0,4.83333,1,3,1.88889,1.375,1,1,4,4.75,4.88889,1,3.4,2.25,1.25,4.84615,1.8,1,5,2,5,4,4,3,5,4,5,4.11111,1.4,1.36364,1,1,1,1,1,1,0.307692,0.181818
6° ano,,1137,1,7,Porto da Folha,1,12,masculino,branco,5,4,3,2,3,3,3,3,4,5,4,1,,2,5,5,5,1,1,3,5,5,5,5,1,1,5,1,5,5,5,1,5,5,5,5,1,5,5,1,1,1,1,1,1,1,5,1,5,5,5,5,1,5,1,5,5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,1,5,1,2,3,1,5,5,1,1,,,1,1,,,3.4,5,5,2.33333,3,1,0,1,0,1,0,0,1,0,1,3,3,1,3.33333,,2.14286,4,5,1,3,4.16667,3,3.25,3.69565,2.38462,3.10317,1,1,2,3,4,3,3,3,3,2,2.66667,2.2,4.2,5,5,5,1,3,3,0.230769,0.227273
6° ano,,1138,1,7,Porto da Folha,1,11,feminino,pardo,2,1,4,2,1,2,4,2,1,1,1,1,1,2,1,5,4,1,1,4,1,1,2,1,1,2,1,5,3,2,,4,4,1,5,2,2,1,1,3,1,5,4,2,1,1,,4,4,5,2,2,1,2,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,2,2,5,4,5,5,2,5,5,2,5,1,5,5,1,1,1,4,5,4,5,4,2,2,1,5,5,1,1,,1,,,,,,2,2,4.33333,1,0,1,0,0,0,1,1,0,1,0,4,1.33333,2,2.11111,1.75,,2,4,2,4.22222,2.33333,4.4,2.73333,1.83333,3.53846,3.36667,1,4,5,2,4,5,4,2,4,5,3.88889,1.6,1.81818,2,1,2,2.33333,1,4,0.153846,0.181818
6° ano,,1139,1,7,Porto da Folha,1,11,feminino,,2,5,1,3,2,1,1,2,1,2,1,1,1,1,1,5,5,1,1,1,2,2,1,1,5,1,3,3,1,5,2,5,1,2,1,3,3,5,1,1,1,1,1,1,2,1,1,1,4,1,2,3,1,1,1,4,2,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,3,5,3,5,5,5,5,5,2,5,5,5,1,1,1,1,1,1,5,5,5,5,5,2,2,2,4,1,,2,,1,,,,,2.8,2.33333,3.25,1,1,1,1,1,1,0,1,1,0,1,0,4.5,1,,2,1.9375,1.57143,1.875,7,3,4.66667,1,5,2.125,1.91667,4.15385,2.52381,1,4,1,5,3,4,5,5,4,5,4,1.2,2.27273,3,4,2,1.33333,1,2.5,0.307692,0.318182
6° ano,,1140,1,7,Porto da Folha,1,11,feminino,pardo,1,5,1,2,2,1,1,1,5,2,3,1,,5,2,1,3,1,1,1,5,1,1,3,5,5,4,1,2,3,1,1,5,2,2,5,2,2,2,1,4,5,1,1,2,1,1,2,3,1,2,3,1,1,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,3,4,4,5,5,2,4,4,3,3,3,1,1,2,1,1,1,2,5,2,4,4,2,2,1,1,4,1,,1,,,1,1,1,Histórias,2.4,4.66667,3.25,2.66667,3,0,1,1,0,0,1,1,0,1,0,3.16667,2.33333,2,2.11111,,1.57143,1.875,5,3,3.33333,1.33333,3.4,2.8125,2.17391,3.23077,2.10159,1,5,1,5,4,4,5,5,5,1,3.88889,1.2,2.9,3,3,1,1.33333,1,2.5,0.230769,0.227273
6° ano,,1141,1,7,Porto da Folha,1,11,masculino,branco,2,3,2,1,2,3,1,3,5,5,2,1,2,4,1,1,3,1,1,1,3,5,1,1,5,1,5,4,3,,3,4,2,5,4,3,4,1,5,2,2,4,1,4,1,1,1,1,2,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,4,5,3,4,5,5,4,2,2,4,2,5,4,1,1,2,1,1,1,2,4,3,3,4,2,1,1,5,4,1,1,1,,,,,,,3,2.75,3.33333,3.5,1,0,1,0,1,0,0,1,0,1,3.66667,2.33333,1,2.44444,2.3125,1.57143,1.25,5,4,3.66667,1.16667,3.2,3.4,1.95833,3.76923,1.97937,1,4,3,4,5,4,3,5,3,1,3.55556,1.8,2.54545,1,3,1,2,1,1.5,0.153846,0.227273
6° ano,,1142,1,7,Porto da Folha,1,11,feminino,pardo,1,4,1,1,1,1,2,3,2,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,1,2,4,3,1,4,1,1,5,2,1,2,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,4,1,1,2,1,1,1,4,5,5,5,5,2,1,2,,,,2,,,,,,,1.8,4,2.75,1,1.5,1,1,1,1,0,1,0,0,1,0,4.83333,1,2,1.77778,1.375,1,1,6,5,4.88889,1.16667,4.8,2.125,1.25,4.92308,2.32222,1,5,2,5,5,5,5,4,3,4,4.22222,1.2,1.45455,1,1,1,1,1,1,0.307692,0.272727
6° ano,,1143,1,7,Porto da Folha,1,11,feminino,branco,3,4,3,2,2,3,2,5,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,1,1,2,5,1,1,2,2,3,1,2,5,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,3,3,3,5,5,5,5,4,5,5,5,5,1,1,2,2,1,1,4,4,5,5,5,2,,1,5,5,1,1,1,,,,,,2,3.66667,2.5,2.66667,1,2,1,1,0,1,0,0,1,0,0,4.83333,1,1,2.77778,1.3125,1,1,6,3,4.88889,1.33333,4.6,2.125,1.20833,4.30769,2.31111,1,3,2,3,4,4,3,4,1,5,3.22222,1,1.45455,1,1,1,1,1,1,0.230769,0.272727
6° ano,,1144,1,7,Porto da Folha,1,10,feminino,,3,5,5,1,1,2,1,1,1,5,1,5,5,1,4,4,5,1,4,1,1,1,1,5,2,4,5,1,1,5,4,5,5,5,1,3,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,2,2,1,5,5,1,2,,,,,,,3.8,5,4.25,1,3,1,1,0,0,0,0,0,1,0,0,5,1,,2.22222,2.875,1,1.5,3,5,5,1.66667,5,3.0625,2.41667,5,2.55556,0,3,1,1,5,5,4,5,5,5,3.77778,3.2,2.72727,5,1,1,1,1,1,0.153846,0.136364
6° ano,,1145,1,7,Porto da Folha,1,11,feminino,,5,5,1,5,5,4,1,4,2,,,,5,1,1,1,5,1,1,1,1,1,1,5,5,,5,3,5,3,5,5,5,5,1,3,1,5,1,5,5,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5,5,5,5,5,5,5,5,5,1,5,1,1,1,1,1,1,1,5,5,5,,1,1,2,2,1,5,4,1,2,,,,,,,,4.33333,4.5,2.33333,3,0,1,0,1,0,0,0,1,1,0,3,1,,3.55556,,1,1.25,4,5,3.66667,1.66667,,3.53333,1.85714,4.07692,1.33333,1,1,1,5,1,1,2,5,2,4,2.44444,1,2.6,2,1,1,1,1,1,0.230769,0.181818
6° ano,,1146,1,7,Porto da Folha,1,11,masculino,branco,4,5,1,1,1,1,1,2,1,5,,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,5,3,5,5,3,1,2,2,4,1,5,1,1,5,1,1,1,1,3,1,2,1,1,1,3,3,1,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,2,2,2,2,1,5,3,1,2,,,,,,,3.8,5,3.25,2.33333,1,1,0,1,0,1,0,0,1,1,0,5,1,1,1.88889,,1.85714,1.875,5,5,5,1.66667,3.8,2.875,1.65217,5,2.44127,1,2,1,5,5,5,5,5,4,5,4.11111,1.8,1.4,1,1,3,2.33333,1,2,0.153846,0.227273
6° ano A,,1147,1,7,Porto da Folha,1,12,feminino,branco,1,5,1,1,1,2,1,5,1,5,1,1,3,1,1,1,4,1,1,1,4,3,2,1,1,5,5,1,1,5,5,1,5,5,1,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,5,5,5,5,1,5,2,2,1,5,5,1,2,,,,,,,3.4,5,4.5,1,1,0,1,1,0,1,0,1,0,1,0,5,1,1,2,1.9375,1,1.75,5,5,5,1.66667,4.2,2.625,1.875,5,2.28889,1,5,1,5,5,5,4,5,1,5,4,1.8,2,1,3,5,1,1,1,0.153846,0.227273
1° ano A,,1148,1,7,Porto da Folha,1,18,feminino,branco,2,4,2,2,2,4,2,,2,5,1,1,3,1,1,2,1,2,1,1,1,5,1,1,2,2,2,4,3,3,4,2,2,2,3,2,4,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,5,5,5,1,1,1,2,1,1,2,2,1,2,2,4,4,4,4,2,,1,1,2,3,1,1,,,,1,,,2.8,2,2,2,1.5,1,1,1,0,1,0,0,1,1,0,1.16667,1,1,2.5,1.8125,1,1.25,6,1,2.44444,1.66667,3.6,2.4375,1.625,2,2.08889,1,4,2,4,4,4,2,4,,4,3.5,2,1.72727,1,2,1,1,1,1,0.230769,0.272727
6° ano,,1148,1,7,Porto da Folha,1,11,masculino,pardo,5,5,1,1,1,5,1,1,2,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,4,1,5,5,3,2,5,5,2,1,4,4,3,1,2,5,3,5,1,3,1,3,3,3,3,2,1,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,5,5,5,5,4,5,5,1,1,2,5,5,3,1,,2,5,1,5,5,5,5,4,2,1,1,4,2,1,2,,,,,,,3.2,4.66667,3,2.66667,2.5,1,0,0,0,0,1,0,1,1,0,3.16667,1.33333,2,2.44444,1.5,2.71429,2,4,5,3.66667,,4.8,3.0625,1.66667,4.07692,3.75714,1,1,1,5,5,5,1,5,5,4,3.55556,1.8,1.36364,2,1,2,3,2,3,0.153846,0.181818
6° ano,,1149,1,7,Porto da Folha,1,11,masculino,,4,5,2,2,3,2,2,2,2,3,1,1,2,1,1,1,5,1,1,1,1,1,1,1,1,5,5,5,1,3,5,1,5,5,,3,1,5,1,1,1,5,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,5,5,5,5,5,5,4,5,1,2,1,1,1,1,3,4,5,4,2,2,,,,,,,,,,,,,3,3.66667,4.5,,1,1,0,0,0,0,0,0,0,0,0,4.83333,1,,2.66667,1.4375,1.14286,1.5,1,1.75,4.88889,1.16667,3.6,3.13333,1.45833,3.92308,1.96984,1,2,1,4,4,3,4,4,4,4,3.33333,1.4,1.45455,5,1,1,1.33333,1,1,0,0.0454545
6°,,1150,1,7,Porto da Folha,1,11,masculino,pardo,2,4,2,2,2,2,2,2,2,3,1,1,2,2,1,1,5,1,1,1,1,3,1,1,1,1,5,1,2,3,2,1,2,4,1,3,1,4,1,5,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,4,2,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,5,5,4,2,2,2,1,1,5,5,1,1,1,,,,,,1.8,4,4,2.33333,1,2,0,1,0,0,1,0,1,0,0,5,1,2,2.22222,1.625,1.28571,1.5,5,5,5,1,3.6,2.125,1.58333,5,1.9619,1,4,2,4,4,4,4,4,4,4,3.77778,1.4,1.72727,1,4,2,1.33333,1,1.5,0.230769,0.227273
6° ano,,1151,1,7,Porto da Folha,1,11,feminino,pardo,1,4,1,5,5,3,1,3,1,3,2,1,,3,1,1,4,1,1,1,1,1,2,1,1,1,4,2,5,5,5,1,5,5,2,4,2,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,3,2,1,1,3,5,5,5,5,2,,2,5,,,2,,,,,,,3.4,4.33333,4.5,1.33333,1,1,1,1,1,0,1,0,0,0,1,5,1,2,2.66667,,1.14286,1,6,5,5,1.66667,4.6,2.8125,1.3913,5,2.46984,1,5,2,5,1,1,3,5,3,5,3.33333,1.4,1.7,1,1,1,1.33333,1,1,0.307692,0.272727
