Cidade,Sexo,cor_da_pele,Idade,Escala_1,Escala_2,Escala_5,Escala_8,Escala_10,Escala_11
N.S. Dores,masculino,Pardo,17.0,2.22222,1.8125,1,2.00,,
N.S. Dores,feminino,,17.0,2.33333,1.7500,,,,
N.S. Dores,masculino,Pardo,17.0,2.44444,1.1875,1,5.00,1.33333,2.8
N.S. Dores,masculino,Pardo,17.0,4.11111,2.0625,1.14286,2.75,1.33333,3.2
N.S. Dores,feminino,Pardo,17.0,,1.5000,1,3.75,1,4.2
N.S. Dores,feminino,Branco,17.0,1.77778,2.1875,1.28571,4.75,1.16667,
N.S. Dores,masculino,Pardo,17.0,3.33333,1.7500,1,2.25,3.83333,2.8
Neópolis,feminino,Branco,17.0,2.33333,1.9375,1,1.75,1.16667,3.6
Neópolis,feminino,Pardo,17.0,2.22222,2.0625,1.57143,3.50,,3.4
Neópolis,masculino,Pardo,17.0,4.33333,,2.28571,2.25,2.5,3.6
Neópolis,masculino,Pardo,17.0,2.11111,1.5000,1.71429,4.25,1.33333,3.0
Neópolis,feminino,Pardo,17.0,2.88889,2.5000,1.85714,2.75,1,4.0
Neópolis,feminino,Pardo,17.0,2.22222,1.6875,1,4.00,1,4.0
Neópolis,feminino,Pardo,17.0,2.77778,2.7500,1.14286,2.25,1.66667,3.8
Neópolis,feminino,Branco,17.0,3.22222,2.1875,2.42857,2.75,,4.4
Neópolis,masculino,Pardo,17.0,2.11111,,1,4.75,1.33333,4.2
Neópolis,masculino,Pardo,17.0,2.33333,1.6250,1.57143,4.00,2.16667,2.2
Neópolis,masculino,Pardo,17.0,1.33333,1.5000,1,5.00,1,4.0
Neópolis,masculino,Branco,17.0,,2.1250,1.57143,2.00,3.16667,3.0
Neópolis,feminino,Preto,17.0,3.55556,1.8750,1,3.75,2.16667,2.6
Neópolis,feminino,,17.0,3.44444,2.8125,2.71429,,,
Neópolis,masculino,Pardo,17.0,1.88889,1.6875,1,4.00,3,4.2
Neópolis,masculino,Pardo,17.0,1.55556,1.3750,1,3.25,3.16667,3.6
Neópolis,feminino,Preto,17.0,2.44444,2.5625,1,4.00,1.16667,2.2
Neópolis,feminino,Preto,17.0,3.66667,2.8750,2.14286,2.75,3.16667,3.0
Neópolis,masculino,Branco,17.0,2.88889,2.1875,1.57143,3.00,2.33333,2.6
Neópolis,feminino,Pardo,17.0,1.66667,1.6250,1.57143,3.75,2.16667,4.4
Neópolis,feminino,Branco,17.0,2.11111,2.1875,1,2.25,4.5,3.2
Neópolis,masculino,Pardo,17.0,3,1.9375,1,1.75,4.5,3.4
Neópolis,feminino,Pardo,17.0,2,,1.14286,4.75,1.16667,4.4
Neópolis,masculino,Pardo,17.0,2,1.5625,1,4.25,1.5,3.8
Neópolis,feminino,Preto,17.0,2.11111,1.8125,1,3.50,1.16667,3.2
Neópolis,feminino,,17.0,2.55556,,,,2.5,3.8
Neópolis,masculino,Pardo,17.0,3.55556,2.3750,2.28571,2.25,3.33333,2.2
Neópolis,masculino,Pardo,17.0,2.11111,1.6875,1.57143,4.00,,
Neópolis,feminino,Pardo,17.0,3.11111,2.3750,1.57143,2.50,3,1.2
Neópolis,feminino,Pardo,17.0,1.88889,1.6250,1,3.75,,
Neópolis,feminino,Preto,17.0,,2.3125,1.57143,2.75,2.33333,2.8
Neópolis,feminino,Branco,17.0,2.55556,,2,2.50,1.5,3.0
Neópolis,feminino,Preto,17.0,2,1.8750,2.14286,2.50,1.83333,4.0
Porto Folha,feminino,Preto,17.0,2.11111,2.1875,1,3.50,3.5,4.0
Porto Folha,masculino,Pardo,17.0,,1.8750,2.42857,5.00,3,3.0
Porto Folha,masculino,Pardo,17.0,,,2.14286,5.00,2.33333,2.6
